SMILES,y_true,p_ens,max_sim_rest,sim_bin
CCCCCCCCCCCCCCCCn1cc[n+](c1)C,1,0.67796314,,
C(CCCCCCn1c[n+](cc1)C)CCCCCCCCC,1,0.6811637,,
n1(CCCCCCCCCCCCCCCC)cc[n+](C)c1,1,0.6879847,,
C[N+](C)(C)CCO,1,0.42251813,,
C[N+](CCO)(C)C,1,0.4225182,,
C[N+](CCO)(C)C,1,0.42251813,,
OCC[N+](C)(C)C,1,0.46752536,,
C[N+](CCO)(C)C,1,0.4225182,,
C[N+](CCO)(C)C,1,0.42251813,,
[N+](C)(C)(CCO)C,1,0.5116582,,
C(C[N+](C)(C)C)O,1,0.5255016,,
CN(C)[C@@H]1C(=O)C(C(N)=O)=C(O)[C@@]2(O)C(=O)C3=C(O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@H](O)[C@@H]12,0,0.45986557,,
F[B-](F)(F)F,0,0.23367743,,
S=C([S-])NCCNC(=S)[S-],0,0.3015884,,
CCN(CC)C(=S)[S-],1,0.4253631,,
CCN(C(=S)[S-])CC,1,0.4253631,,
C(N(CC)C([S-])=S)C,1,0.42536306,,
S=C([S-])N(CC)CC,1,0.49403188,,
C(C)N(CC)C([S-])=S,1,0.4253631,,
C(N(C(=S)[S-])CC)C,1,0.42536306,,
CCCCC(CC)C(=O)[O-],0,0.34486008,,
O=C(O)CC(O)(CC(=O)O)C(=O)O,1,0.30699176,,
C(C(CC(O)=O)(O)CC(=O)O)(=O)O,1,0.43156514,,
C(CC(CC(=O)O)(C(=O)O)O)(=O)O,1,0.43156514,,
C(=O)(C(CC(O)=O)(CC(=O)O)O)O,1,0.43156514,,
C(O)(=O)CC(C(O)=O)(O)CC(O)=O,1,0.43156514,,
OC(=O)CC(O)(C(O)=O)CC(O)=O,1,0.40198633,,
Nc1ccccc1,0,0.20000969,,
[C-]#N,0,0.23964173,,
CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,0,0.49965405,,
NCCN,0,0.20473796,,
CNC,0,0.21960871,,
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,1,0.5714575,,
C(CCN(C)C)(c1ccccn1)c1ccc(cc1)Cl,1,0.6490366,,
C(CN(C)C)C(c1ccccn1)c1ccc(Cl)cc1,1,0.6490366,,
c1cc(ncc1)C(CCN(C)C)c1ccc(cc1)Cl,1,0.6538692,,
N(C)(C)CCC(c1ccccn1)c1ccc(cc1)Cl,1,0.651763,,
c1cc(C(c2ncccc2)CCN(C)C)ccc1Cl,1,0.65386915,,
CCCC(CCC)C(=O)O,1,0.30154395,,
C(C(CCC)C(O)=O)CC,1,0.30154395,,
O=C(O)C(CCC)CCC,1,0.25085545,,
C(=O)(C(CCC)CCC)O,1,0.30154395,,
OC(=O)C(CCC)CCC,1,0.31116658,,
CCCC(CCC)C(O)=O,1,0.301544,,
OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,1,0.682544,,
c12ccccc2Sc2ccccc2C(=N1)N1CCN(CC1)CCOCCO,1,0.7005971,,
O(CCO)CCN1CCN(CC1)C1=Nc2c(Sc3ccccc31)cccc2,1,0.68842643,,
C1CN(CCN1C1=Nc2ccccc2Sc2c1cccc2)CCOCCO,1,0.70209223,,
O(CCO)CCN1CCN(CC1)C1=Nc2c(cccc2)Sc2ccccc21,1,0.6884264,,
C1CN(CCOCCO)CCN1C1=Nc2c(cccc2)Sc2c1cccc2,1,0.70209223,,
CN(C)C(=S)[S-],1,0.39394954,,
CN(C([S-])=S)C,1,0.3939495,,
CN(C([S-])=S)C,1,0.39394954,,
CN(C([S-])=S)C,1,0.3939495,,
CN(C([S-])=S)C,1,0.39394954,,
CN(C)C([S-])=S,1,0.39394957,,
CN(C)C([S-])=S,1,0.39394957,,
CN(C)C([S-])=S,1,0.39394957,,
CN(C)C([S-])=S,1,0.39394957,,
N(C)(C)C(=S)[S-],1,0.44934896,,
CCCCCC[n+]1ccccc1,0,0.41389397,,
O=S(=O)(O)O,0,0.18614917,,
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,1,0.52568173,,
O(C)C(C1C(c2ccccc2Cl)C(=C(COCCN)NC=1C)C(OCC)=O)=O,1,0.66472495,,
C(C)OC(=O)C1C(c2c(cccc2)Cl)C(=C(C)NC=1COCCN)C(OC)=O,1,0.5277997,,
C1(C)=C(C(=O)OC)C(c2c(cccc2)Cl)C(=C(N1)COCCN)C(OCC)=O,1,0.66473913,,
C1(=C(NC(C)=C(C(=O)OC)C1c1ccccc1Cl)COCCN)C(OCC)=O,1,0.66473913,,
C(CN)OCC1NC(C)=C(C(=O)OC)C(C=1C(=O)OCC)c1c(Cl)cccc1,1,0.65070856,,
Cc1ccccc1C(OCCN(C)C)c1ccccc1,1,0.669068,,
c1ccccc1C(c1c(C)cccc1)OCCN(C)C,1,0.669068,,
c1ccc(C(OCCN(C)C)c2c(cccc2)C)cc1,1,0.669068,,
c1c(cccc1)C(OCCN(C)C)c1c(C)cccc1,1,0.669068,,
c1(C)ccccc1C(c1ccccc1)OCCN(C)C,1,0.669068,,
c1(C(c2ccccc2)OCCN(C)C)ccccc1C,1,0.669068,,
O=C1[N-]S(=O)(=O)c2ccccc21,0,0.22652425,,
O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,0,0.37810236,,
CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,1,0.35936075,,
O=C(NC1C(OC(CC)CC)C=C(C(OCC)=O)CC1N)C,1,0.4085474,,
O(C1C(C(N)CC(=C1)C(=O)OCC)NC(C)=O)C(CC)CC,1,0.50949484,,
C(NC1C(N)CC(=CC1OC(CC)CC)C(=O)OCC)(C)=O,1,0.48156464,,
CCOC(C1CC(N)C(NC(=O)C)C(OC(CC)CC)C=1)=O,1,0.3593607,,
O(CC)C(=O)C1CC(N)C(C(C=1)OC(CC)CC)NC(=O)C,1,0.5281592,,
Cc1ccc(S(=O)(=O)O)cc1,0,0.21332471,,
Cc1cc(-c2ccc(N)c(C)c2)ccc1N,0,0.2622313,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
[O-][Cl+2]([O-])[O-],1,0.44825238,,
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)SCF,1,0.6515574,,
C12(C)C(OC(=O)c3ccco3)(C(C)CC2C2C(C3(C(=CC(C=C3)=O)C(C2)F)C)(C(C1)O)F)C(SCF)=O,1,0.6515574,,
C12=CC(=O)C=CC2(C2(C(CC1F)C1CC(C)C(C(SCF)=O)(C1(C)CC2O)OC(=O)c1occc1)F)C,1,0.65347505,,
C12(C3(C(=CC(=O)C=C3)C(F)CC2C2CC(C(OC(c3ccco3)=O)(C2(C)CC1O)C(=O)SCF)C)C)F,1,0.6515574,,
C12(C(C3C(C)(C(OC(c4occc4)=O)(C(C)C3)C(=O)SCF)CC1O)CC(C1=CC(C=CC12C)=O)F)F,1,0.65347505,,
CC12C3(C(CC(C2=CC(C=C1)=O)F)C1C(C(C(=O)SCF)(C(C)C1)OC(c1occc1)=O)(C)CC3O)F,1,0.65347505,,
O=C(O)c1nc(Cl)ccc1Cl,0,0.20011187,,
Cc1ccc(S(=O)(=O)[N-]Cl)cc1,0,0.2581246,,
N#C[S-],0,0.20734362,,
CCCC[N+](C)(CCCC)CCCC,1,0.52857697,,
C(CCC)[N+](C)(CCCC)CCCC,1,0.52857697,,
C(C[N+](C)(CCCC)CCCC)CC,1,0.52857697,,
C(C[N+](CCCC)(CCCC)C)CC,1,0.52857697,,
C([N+](CCCC)(C)CCCC)CCC,1,0.52857697,,
C(C)CC[N+](CCCC)(C)CCCC,1,0.52857697,,
Cn1sccc1=O,0,0.21749766,,
COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,1,0.67336273,,
c1c(c(Nc2c(cnc3c2cc(OC)c(OCCCN2CCN(CC2)C)c3)C#N)cc(OC)c1Cl)Cl,1,0.76144135,,
c12c(Nc3cc(OC)c(Cl)cc3Cl)c(cnc2cc(OCCCN2CCN(CC2)C)c(c1)OC)C#N,1,0.76121247,,
n1c2cc(c(OC)cc2c(Nc2c(cc(c(c2)OC)Cl)Cl)c(C#N)c1)OCCCN1CCN(C)CC1,1,0.7612125,,
c1c(c(cc(c1Nc1c2cc(c(cc2ncc1C#N)OCCCN1CCN(C)CC1)OC)Cl)Cl)OC,1,0.7621925,,
N#Cc1cnc2c(cc(OC)c(c2)OCCCN2CCN(CC2)C)c1Nc1c(cc(Cl)c(c1)OC)Cl,1,0.733986,,
CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1,1,0.52157193,,
[O-][N+](C=C(NC)NCCSCc1oc(cc1)CN(C)C)=O,1,0.6148608,,
C(=C(NC)NCCSCc1oc(cc1)CN(C)C)[N+]([O-])=O,1,0.61558115,,
CN(C)Cc1oc(cc1)CSCCNC(=C[N+]([O-])=O)NC,1,0.563825,,
c1(CN(C)C)oc(cc1)CSCCNC(NC)=C[N+](=O)[O-],1,0.62504584,,
C(SCCNC(=C[N+](=O)[O-])NC)c1ccc(o1)CN(C)C,1,0.6250459,,
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,1,0.36438236,,
C1C(C1)n1c2c(cc(F)c(c2)N2CCNCC2)c(=O)c(C(O)=O)c1,1,0.6468374,,
c1(cc2n(cc(C(O)=O)c(=O)c2cc1F)C1CC1)N1CCNCC1,1,0.6564115,,
c1(=O)c(C(O)=O)cn(c2c1cc(c(N1CCNCC1)c2)F)C1CC1,1,0.64868206,,
n1(c2c(c(c(c1)C(=O)O)=O)cc(F)c(c2)N1CCNCC1)C1CC1,1,0.64868206,,
c12c(n(cc(c1=O)C(O)=O)C1CC1)cc(c(c2)F)N1CCNCC1,1,0.6564114,,
CCn1c2ccccc2c2cc(N)ccc21,0,0.32557806,,
CCC[C@H](N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,0,0.59359854,,
Clc1ccc2nsnc2c1NC1=NCCN1,1,0.57272005,,
C1(=NCCN1)Nc1c2nsnc2ccc1Cl,1,0.5634533,,
c12nsnc2c(c(Cl)cc1)NC1NCCN=1,1,0.6115531,,
s1nc2c(c(Cl)ccc2n1)NC1NCCN=1,1,0.611553,,
n1snc2ccc(c(c21)NC1NCCN=1)Cl,1,0.6083097,,
c1cc(Cl)c(c2c1nsn2)NC1=NCCN1,1,0.5945879,,
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,0,0.51261914,,
O=c1nc([O-])n(Cl)c(=O)n1Cl,0,0.2364752,,
CC(C)(C)NCC(O)c1ccccc1Cl,1,0.5567395,,
Clc1c(C(O)CNC(C)(C)C)cccc1,1,0.56242776,,
c1cccc(Cl)c1C(CNC(C)(C)C)O,1,0.6024132,,
c1(c(cccc1)C(CNC(C)(C)C)O)Cl,1,0.6024132,,
CC(C)(C)NCC(c1c(cccc1)Cl)O,1,0.55673945,,
c1cc(c(cc1)Cl)C(CNC(C)(C)C)O,1,0.6024132,,
[Cl][In]([Cl])[Cl],0,0.19082008,,
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,1,0.52101004,,
c1(ccc(O)c(c1)CO)C(CNC(C)(C)C)O,1,0.5867408,,
c1(C(CNC(C)(C)C)O)cc(CO)c(cc1)O,1,0.5867408,,
CC(C)(C)NCC(c1cc(CO)c(O)cc1)O,1,0.5210101,,
c1(O)c(CO)cc(cc1)C(CNC(C)(C)C)O,1,0.58674073,,
OC(CNC(C)(C)C)c1ccc(c(CO)c1)O,1,0.5456465,,
CCOC(=S)[S-],0,0.23507558,,
COc1ccc2[n-]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,1,0.4954333,,
c1(c(C)cnc(C[S+]([O-])c2[n-]c3ccc(cc3n2)OC)c1C)OC,1,0.6906078,,
n1c(C[S+](c2[n-]c3ccc(OC)cc3n2)[O-])c(c(OC)c(C)c1)C,1,0.6906078,,
c12ccc(cc2nc([n-]1)[S+]([O-])Cc1c(C)c(c(cn1)C)OC)OC,1,0.6910279,,
c1(nc2c([n-]1)ccc(OC)c2)[S+]([O-])Cc1c(C)c(OC)c(cn1)C,1,0.6921338,,
Cc1cnc(c(c1OC)C)C[S+](c1nc2cc(ccc2[n-]1)OC)[O-],1,0.691913,,
C[N+](C)(C)CC(=O)[O-],0,0.2975156,,
C1CNCCN1,0,0.21281427,,
CCCC[P+](CCCC)(CCCC)CCCC,1,0.52440476,,
C([P+](CCCC)(CCCC)CCCC)CCC,1,0.52440476,,
[P+](CCCC)(CCCC)(CCCC)CCCC,1,0.53371865,,
[P+](CCCC)(CCCC)(CCCC)CCCC,1,0.53371865,,
[P+](CCCC)(CCCC)(CCCC)CCCC,1,0.53371865,,
[P+](CCCC)(CCCC)(CCCC)CCCC,1,0.53371865,,
[P+](CCCC)(CCCC)(CCCC)CCCC,1,0.53371865,,
[P+](CCCC)(CCCC)(CCCC)CCCC,1,0.53371865,,
[P+](CCCC)(CCCC)(CCCC)CCCC,1,0.53371865,,
[P+](CCCC)(CCCC)(CCCC)CCCC,1,0.53371865,,
[P+](CCCC)(CCCC)(CCCC)CCCC,1,0.53371865,,
C(C)CC[P+](CCCC)(CCCC)CCCC,1,0.52440476,,
C[N+](C)(C)C,0,0.33124137,,
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0,0.22540584,,
CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,0,0.4558553,,
C[N+](C)(C)CCCCCC[N+](C)(C)C,0,0.51406866,,
C1COCCN1,0,0.20514733,,
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,1,0.61507636,,
CCC(N(c1ccccc1)C1(CCN(CC1)CCC(=O)OC)C(OC)=O)=O,1,0.6150764,,
C(C(=O)OC)CN1CCC(CC1)(C(OC)=O)N(c1ccccc1)C(=O)CC,1,0.6520103,,
C(C(OC)=O)CN1CCC(C(OC)=O)(CC1)N(c1ccccc1)C(CC)=O,1,0.6520103,,
C(N(c1ccccc1)C1(CCN(CCC(OC)=O)CC1)C(OC)=O)(=O)CC,1,0.61507636,,
C1N(CCC(OC)=O)CCC(N(C(=O)CC)c2ccccc2)(C(OC)=O)C1,1,0.6480745,,
CC(C)NCC(O)c1ccc(O)c(O)c1,1,0.5203922,,
C(c1cc(O)c(cc1)O)(CNC(C)C)O,1,0.5957334,,
N(C(C)C)CC(c1cc(O)c(O)cc1)O,1,0.5904927,,
c1(O)c(ccc(C(CNC(C)C)O)c1)O,1,0.5957334,,
c1c(c(cc(C(O)CNC(C)C)c1)O)O,1,0.59573334,,
c1cc(c(cc1C(CNC(C)C)O)O)O,1,0.5957334,,
CCCCCCCCCCCCN,1,0.31990469,,
C(CCCCCCCCCC)CN,1,0.31990469,,
C(CCCCCCCCCCN)C,1,0.31990469,,
C(CCCCCCCCN)CCC,1,0.31990469,,
C(CC)CCCCCCCCCN,1,0.31990466,,
C(CCCCN)CCCCCCC,1,0.31990466,,
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,1,0.59605044,,
C1CN(C)CCN1C1=Nc2c(cccc2)Oc2ccc(Cl)cc21,1,0.69146824,,
N1(C)CCN(C2c3cc(Cl)ccc3Oc3c(cccc3)N=2)CC1,1,0.68814266,,
C1N(C2=Nc3ccccc3Oc3ccc(cc23)Cl)CCN(C1)C,1,0.69146824,,
O1c2c(C(=Nc3c1cccc3)N1CCN(C)CC1)cc(Cl)cc2,1,0.6936064,,
C1N(CCN(C1)C)C1c2cc(Cl)ccc2Oc2ccccc2N=1,1,0.68814266,,
C[n+]1ccn(CCO)c1,0,0.3111549,,
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,1,0.6197541,,
c1cc(ccc1)C(C(=O)CC)(c1ccccc1)CC(C)N(C)C,1,0.6197541,,
c1c(C(C(=O)CC)(CC(C)N(C)C)c2ccccc2)cccc1,1,0.6197541,,
c1c(C(c2ccccc2)(C(CC)=O)CC(N(C)C)C)cccc1,1,0.61975414,,
c1ccccc1C(c1ccccc1)(CC(N(C)C)C)C(CC)=O,1,0.6197541,,
C(C(c1ccccc1)(CC(C)N(C)C)c1ccccc1)(=O)CC,1,0.6197541,,
COc1ccc(N)c(OC)c1,0,0.21826574,,
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1,0.671421,,
c12COC(CCCN(C)C)(c3ccc(cc3)F)c2ccc(c1)C#N,1,0.6806158,,
c1cc2c(COC2(c2ccc(cc2)F)CCCN(C)C)cc1C#N,1,0.6806158,,
C(c1cc2COC(c2cc1)(c1ccc(F)cc1)CCCN(C)C)#N,1,0.6806158,,
CN(C)CCCC1(OCc2cc(ccc12)C#N)c1ccc(F)cc1,1,0.671421,,
c1(ccc2C(c3ccc(cc3)F)(OCc2c1)CCCN(C)C)C#N,1,0.6879776,,
Nc1ccc(C(=O)[O-])c(O)c1,1,0.28833875,,
Nc1cc(O)c(C(=O)[O-])cc1,1,0.28833875,,
c1cc(C(=O)[O-])c(O)cc1N,1,0.5058363,,
c1c(ccc(c1O)C([O-])=O)N,1,0.50583625,,
O=C([O-])c1c(O)cc(cc1)N,1,0.22065589,,
c1c(c(O)cc(N)c1)C(=O)[O-],1,0.50583625,,
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,1,0.6560758,,
C1(C)CCN(CCCC(=O)c2ccc(F)cc2)CC1,1,0.6560758,,
C(CN1CCC(CC1)C)CC(c1ccc(cc1)F)=O,1,0.57053626,,
c1c(ccc(F)c1)C(=O)CCCN1CCC(CC1)C,1,0.57053626,,
c1cc(F)ccc1C(=O)CCCN1CCC(C)CC1,1,0.57053626,,
Fc1ccc(cc1)C(=O)CCCN1CCC(CC1)C,1,0.4996788,,
CN1CCC[C@H]1c1cccnc1,0,0.36831677,,
COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,1,0.38167703,,
c1c(F)c(N2CC3NCCCC3C2)c(c2c1c(c(C(=O)O)cn2C1CC1)=O)OC,1,0.71525735,,
n1(C2CC2)c2c(OC)c(N3CC4NCCCC4C3)c(cc2c(=O)c(c1)C(O)=O)F,1,0.71525735,,
O(c1c2n(cc(c(c2cc(F)c1N1CC2C(C1)NCCC2)=O)C(=O)O)C1CC1)C,1,0.70895267,,
c1(F)c(N2CC3CCCNC3C2)c(OC)c2n(C3CC3)cc(C(=O)O)c(=O)c2c1,1,0.7052832,,
c1c(c(=O)c2cc(c(N3CC4C(NCCC4)C3)c(OC)c2n1C1CC1)F)C(=O)O,1,0.7176181,,
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1,0.6778763,,
c1cc2c(cc1Cl)N(c1ccccc1CC2)CCCN(C)C,1,0.71489686,,
N(C)(CCCN1c2cc(ccc2CCc2ccccc21)Cl)C,1,0.70669854,,
c12N(CCCN(C)C)c3c(CCc2ccc(Cl)c1)cccc3,1,0.71489686,,
CN(C)CCCN1c2cc(ccc2CCc2c1cccc2)Cl,1,0.67749524,,
N(CCCN1c2cc(ccc2CCc2ccccc21)Cl)(C)C,1,0.70669854,,
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,1,0.7074852,,
C(N(CCOc1c(cc(cc1I)C(c1c2c(cccc2)oc1CCCC)=O)I)CC)C,1,0.67196155,,
C(Cc1oc2ccccc2c1C(=O)c1cc(c(OCCN(CC)CC)c(c1)I)I)CC,1,0.7074852,,
c12c(cccc2)oc(CCCC)c1C(c1cc(c(c(I)c1)OCCN(CC)CC)I)=O,1,0.7079916,,
C(CCC)c1c(c2c(o1)cccc2)C(c1cc(c(c(c1)I)OCCN(CC)CC)I)=O,1,0.7079916,,
c1cc2c(C(=O)c3cc(c(c(c3)I)OCCN(CC)CC)I)c(CCCC)oc2cc1,1,0.7074852,,
Nc1ccc(Cl)cc1,0,0.21522588,,
C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl,1,0.5902011,,
c1(c(C(OCC=C)Cn2cncc2)ccc(c1)Cl)Cl,1,0.6250344,,
C(OC(Cn1cncc1)c1c(cc(cc1)Cl)Cl)C=C,1,0.5890856,,
n1(CC(c2ccc(Cl)cc2Cl)OCC=C)ccnc1,1,0.64100766,,
O(CC=C)C(Cn1cncc1)c1c(cc(Cl)cc1)Cl,1,0.63651407,,
c1n(CC(OCC=C)c2c(Cl)cc(cc2)Cl)ccn1,1,0.64100766,,
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,1,0.4848834,,
C1CN(C)C2Cc3ccc(O)c4c3C31C2CCC(C3O4)=O,1,0.63554096,,
